epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,3851.4,0.7916,0.47432,1.03832,0.87697,0.71344,0.81345,0.45846,1.55614,0.89049,1.75883,8.25503e-05,8.25503e-05,8.25503e-05
184,3872.1,0.79588,0.47781,1.0388,0.87455,0.71673,0.80913,0.45579,1.54874,0.88795,1.75465,7.84269e-05,7.84269e-05,7.84269e-05
185,3892.77,0.79631,0.4859,1.04854,0.85723,0.71495,0.80707,0.45407,1.55121,0.89832,1.75017,7.43036e-05,7.43036e-05,7.43036e-05
186,3913.85,0.79242,0.48686,1.04435,0.77902,0.7733,0.80188,0.45404,1.54714,0.8893,1.75567,7.01802e-05,7.01802e-05,7.01802e-05
187,3934.63,0.79031,0.47945,1.03636,0.84046,0.71695,0.80728,0.45592,1.55269,0.89621,1.76535,6.60569e-05,6.60569e-05,6.60569e-05
188,3955.48,0.79483,0.47691,1.03887,0.81743,0.74062,0.81046,0.45621,1.56042,0.89565,1.77561,6.19335e-05,6.19335e-05,6.19335e-05
189,3976.11,0.78248,0.47511,1.03835,0.84357,0.71286,0.81034,0.45948,1.55581,0.89902,1.77574,5.78102e-05,5.78102e-05,5.78102e-05
190,3996.85,0.79773,0.48369,1.03518,0.79715,0.74336,0.80954,0.45622,1.55127,0.90565,1.7743,5.36869e-05,5.36869e-05,5.36869e-05
191,4028.51,0.70431,0.37253,0.98841,0.8403,0.71362,0.80781,0.45389,1.5516,0.91317,1.79232,4.95635e-05,4.95635e-05,4.95635e-05
192,4049.16,0.6842,0.36129,0.97938,0.87599,0.68463,0.80312,0.45071,1.55186,0.92032,1.79785,4.54402e-05,4.54402e-05,4.54402e-05
193,4069.57,0.68046,0.35844,0.97845,0.79118,0.71882,0.78643,0.45033,1.55932,0.91203,1.81174,4.13168e-05,4.13168e-05,4.13168e-05
194,4090.01,0.67254,0.35004,0.96948,0.8388,0.70876,0.79629,0.4516,1.5604,0.91976,1.81358,3.71935e-05,3.71935e-05,3.71935e-05
195,4110.44,0.6742,0.35087,0.97462,0.81201,0.72471,0.79327,0.45688,1.56069,0.92101,1.8167,3.30701e-05,3.30701e-05,3.30701e-05
196,4131.08,0.65875,0.34522,0.96776,0.7906,0.73926,0.79479,0.45601,1.56455,0.92076,1.82162,2.89468e-05,2.89468e-05,2.89468e-05
197,4151.75,0.65957,0.34111,0.96435,0.7905,0.73848,0.79469,0.4562,1.56284,0.9197,1.82504,2.48234e-05,2.48234e-05,2.48234e-05
198,4172.37,0.65931,0.34408,0.96746,0.79167,0.73796,0.79292,0.45545,1.56343,0.91776,1.82554,2.07001e-05,2.07001e-05,2.07001e-05
199,4192.8,0.6575,0.34648,0.96798,0.79042,0.73787,0.79304,0.45343,1.56519,0.91938,1.82523,1.65767e-05,1.65767e-05,1.65767e-05
200,4213.05,0.65269,0.34348,0.95953,0.80566,0.73108,0.79361,0.45452,1.5653,0.91833,1.82703,1.24534e-05,1.24534e-05,1.24534e-05
