epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,892.703,1.2597,0.90544,1.29717,0.7986,0.68537,0.74461,0.39481,1.56501,1.11801,1.62578,0.000663943,0.000663943,0.000663943
43,914.259,1.24082,0.91411,1.29644,0.7456,0.70553,0.75993,0.42555,1.49328,1.06183,1.60425,0.000659819,0.000659819,0.000659819
44,936.248,1.2396,0.89955,1.30202,0.80604,0.66793,0.73085,0.41122,1.54959,1.06588,1.62991,0.000655696,0.000655696,0.000655696
45,957.708,1.24968,0.87912,1.29016,0.7416,0.74355,0.77121,0.41561,1.54402,1.04666,1.60754,0.000651573,0.000651573,0.000651573
46,979.061,1.25071,0.8999,1.30309,0.79473,0.65842,0.75087,0.41644,1.51152,1.04487,1.6045,0.000647449,0.000647449,0.000647449
47,1000.4,1.23343,0.87574,1.29753,0.78566,0.72528,0.77605,0.4428,1.48992,0.99646,1.59414,0.000643326,0.000643326,0.000643326
48,1022.14,1.2253,0.8644,1.28057,0.75884,0.73603,0.78059,0.42599,1.56526,1.07049,1.65896,0.000639203,0.000639203,0.000639203
49,1044.01,1.22502,0.86585,1.27543,0.76146,0.73247,0.75396,0.42195,1.53629,1.05543,1.63286,0.000635079,0.000635079,0.000635079
50,1065.64,1.22308,0.87169,1.28175,0.81075,0.70995,0.77044,0.42634,1.53169,0.99148,1.64091,0.000630956,0.000630956,0.000630956
51,1087.33,1.21586,0.86541,1.27644,0.81413,0.71291,0.78978,0.439,1.51613,1.00244,1.6216,0.000626832,0.000626832,0.000626832
52,1109.08,1.21049,0.86537,1.2778,0.83977,0.7101,0.78902,0.43844,1.51581,1.00991,1.59398,0.000622709,0.000622709,0.000622709
53,1130.77,1.19475,0.83857,1.26868,0.81459,0.70081,0.78859,0.44818,1.51513,1.03212,1.60529,0.000618586,0.000618586,0.000618586
54,1151.58,1.21914,0.84662,1.2738,0.74022,0.74745,0.77622,0.42951,1.53906,1.03603,1.62264,0.000614462,0.000614462,0.000614462
55,1172.8,1.20493,0.84841,1.27201,0.81157,0.71318,0.78754,0.43712,1.48731,0.98511,1.58793,0.000610339,0.000610339,0.000610339
56,1194.38,1.20777,0.83193,1.26347,0.79577,0.73357,0.77637,0.42663,1.50249,0.98892,1.58889,0.000606216,0.000606216,0.000606216
57,1215.46,1.20264,0.81772,1.26204,0.81403,0.74629,0.79509,0.44394,1.49366,0.99111,1.58752,0.000602092,0.000602092,0.000602092
58,1236.52,1.20148,0.82777,1.26207,0.78277,0.73746,0.78348,0.438,1.50033,0.9942,1.60078,0.000597969,0.000597969,0.000597969
59,1257.32,1.17826,0.80063,1.24303,0.76519,0.7561,0.78535,0.43834,1.48606,0.95942,1.58967,0.000593846,0.000593846,0.000593846
60,1278.58,1.17441,0.80295,1.25287,0.75704,0.76868,0.79985,0.4438,1.53374,0.97058,1.62183,0.000589722,0.000589722,0.000589722
61,1300.37,1.18404,0.80951,1.25314,0.81247,0.71304,0.78944,0.43506,1.54497,0.99476,1.62524,0.000585599,0.000585599,0.000585599
62,1321.69,1.17506,0.80362,1.24511,0.76479,0.73842,0.78214,0.44107,1.53189,1.00173,1.62026,0.000581476,0.000581476,0.000581476
63,1342.67,1.16614,0.78836,1.24284,0.7828,0.74307,0.79603,0.44642,1.5274,0.94874,1.62367,0.000577352,0.000577352,0.000577352
64,1365,1.1572,0.78955,1.23607,0.80507,0.74001,0.80044,0.44899,1.48586,0.9291,1.61185,0.000573229,0.000573229,0.000573229
65,1385.92,1.15509,0.78821,1.23725,0.77159,0.71086,0.75495,0.42479,1.52093,1.00094,1.63273,0.000569106,0.000569106,0.000569106
66,1406.65,1.15401,0.78454,1.23606,0.79296,0.75264,0.77529,0.43232,1.51744,0.97753,1.60207,0.000564982,0.000564982,0.000564982
67,1428.38,1.15134,0.76367,1.23194,0.81881,0.72207,0.77677,0.42083,1.53035,0.94699,1.63379,0.000560859,0.000560859,0.000560859
68,1448.91,1.15092,0.77357,1.22966,0.80191,0.74161,0.79815,0.45209,1.51337,0.93206,1.59358,0.000556736,0.000556736,0.000556736
69,1469.39,1.15495,0.78272,1.23544,0.83123,0.74161,0.82216,0.46576,1.51097,0.94088,1.60091,0.000552612,0.000552612,0.000552612
70,1490.67,1.14822,0.7717,1.23298,0.77221,0.7615,0.79546,0.44273,1.51452,0.95918,1.60659,0.000548489,0.000548489,0.000548489
71,1512.34,1.14123,0.76288,1.22776,0.80044,0.73833,0.80309,0.45257,1.54002,0.9281,1.63286,0.000544365,0.000544365,0.000544365
72,1533.59,1.12963,0.76371,1.21451,0.81676,0.72337,0.78974,0.44284,1.51335,0.95168,1.62463,0.000540242,0.000540242,0.000540242
73,1554.61,1.12756,0.7349,1.20803,0.82158,0.73797,0.79898,0.45183,1.52254,0.92919,1.60911,0.000536119,0.000536119,0.000536119
74,1575.22,1.13369,0.75063,1.21607,0.8117,0.71435,0.78424,0.43258,1.51893,0.95218,1.6072,0.000531995,0.000531995,0.000531995
75,1596.09,1.13624,0.73649,1.21472,0.76353,0.715,0.76725,0.43136,1.5451,0.9942,1.63432,0.000527872,0.000527872,0.000527872
76,1616.83,1.10979,0.72764,1.20403,0.80864,0.74201,0.80437,0.45132,1.50856,0.92275,1.60048,0.000523749,0.000523749,0.000523749
77,1638.45,1.11616,0.7411,1.20817,0.74164,0.74045,0.77482,0.43859,1.5094,0.90585,1.63054,0.000519625,0.000519625,0.000519625
78,1659.24,1.12014,0.73492,1.21419,0.73736,0.75736,0.79816,0.4583,1.52687,0.94784,1.62088,0.000515502,0.000515502,0.000515502
79,1680.55,1.1095,0.73463,1.21149,0.74946,0.761,0.7988,0.44396,1.50138,0.93281,1.61286,0.000511379,0.000511379,0.000511379
80,1702.24,1.09754,0.72212,1.19762,0.79676,0.7382,0.80999,0.45294,1.50639,0.96077,1.60803,0.000507255,0.000507255,0.000507255
81,1723.43,1.09672,0.73026,1.19747,0.78881,0.72274,0.79068,0.43596,1.52436,0.94917,1.64887,0.000503132,0.000503132,0.000503132
82,1744.54,1.10017,0.72656,1.19895,0.80405,0.7743,0.81159,0.44751,1.48869,0.91275,1.60157,0.000499009,0.000499009,0.000499009
83,1765.64,1.08404,0.70969,1.19121,0.83679,0.71538,0.79609,0.45567,1.50043,0.92451,1.59774,0.000494885,0.000494885,0.000494885
84,1786.71,1.08531,0.70685,1.19304,0.78095,0.73601,0.78943,0.43916,1.52753,0.91756,1.63734,0.000490762,0.000490762,0.000490762
85,1808.09,1.09618,0.71665,1.19597,0.79146,0.71345,0.79713,0.44891,1.49224,0.92892,1.61356,0.000486639,0.000486639,0.000486639
86,1829.3,1.07351,0.69531,1.17654,0.81557,0.77035,0.82513,0.46083,1.49549,0.91251,1.61948,0.000482515,0.000482515,0.000482515
87,1849.83,1.08833,0.70429,1.1973,0.75186,0.7394,0.78367,0.4417,1.49548,0.92054,1.60198,0.000478392,0.000478392,0.000478392
88,1870.43,1.07963,0.69778,1.18964,0.80199,0.71218,0.79451,0.4473,1.45302,0.87765,1.57269,0.000474269,0.000474269,0.000474269
89,1891.05,1.07305,0.69743,1.18517,0.76249,0.72901,0.78412,0.44616,1.52451,0.88119,1.6273,0.000470145,0.000470145,0.000470145
90,1911.6,1.07346,0.69275,1.18854,0.77678,0.7319,0.78463,0.44416,1.52586,0.92986,1.63907,0.000466022,0.000466022,0.000466022
91,1932.16,1.06969,0.68931,1.1831,0.83379,0.7095,0.78517,0.44784,1.5292,0.90814,1.6603,0.000461898,0.000461898,0.000461898
92,1952.62,1.064,0.68407,1.18392,0.84797,0.68856,0.78196,0.43871,1.50098,0.92914,1.60031,0.000457775,0.000457775,0.000457775
93,1973.15,1.03782,0.66641,1.16678,0.81081,0.71268,0.79642,0.45553,1.5142,0.88397,1.64261,0.000453652,0.000453652,0.000453652
94,1993.54,1.04919,0.67288,1.17859,0.78704,0.73598,0.81927,0.45601,1.50185,0.89122,1.61787,0.000449528,0.000449528,0.000449528
95,2014,1.05618,0.67319,1.1698,0.79729,0.78274,0.81853,0.45395,1.5208,0.89215,1.62482,0.000445405,0.000445405,0.000445405
96,2034.56,1.04771,0.67682,1.16913,0.81874,0.7443,0.82373,0.45992,1.49685,0.89505,1.61378,0.000441282,0.000441282,0.000441282
97,2055.02,1.05966,0.67888,1.16726,0.7976,0.70544,0.78136,0.44266,1.50877,0.85856,1.64703,0.000437158,0.000437158,0.000437158
98,2075.42,1.0409,0.66842,1.17348,0.791,0.73749,0.79466,0.45013,1.52009,0.87871,1.64781,0.000433035,0.000433035,0.000433035
99,2095.94,1.05139,0.67078,1.17054,0.8145,0.75219,0.80234,0.45496,1.51414,0.88965,1.63186,0.000428912,0.000428912,0.000428912
100,2116.36,1.02691,0.64882,1.16301,0.78841,0.71768,0.7824,0.44728,1.50332,0.90149,1.64198,0.000424788,0.000424788,0.000424788
101,2136.95,1.03449,0.66021,1.16284,0.72299,0.75481,0.78174,0.45743,1.48434,0.90166,1.61653,0.000420665,0.000420665,0.000420665
102,2157.55,1.01236,0.64365,1.14952,0.80062,0.7195,0.79058,0.45459,1.49406,0.88359,1.62879,0.000416542,0.000416542,0.000416542
103,2178.3,1.01746,0.6501,1.15321,0.83726,0.73173,0.8068,0.46138,1.5159,0.87391,1.6562,0.000412418,0.000412418,0.000412418
104,2198.78,1.02098,0.64805,1.15568,0.7879,0.74873,0.80322,0.4501,1.52318,0.85362,1.66052,0.000408295,0.000408295,0.000408295
105,2219.42,1.01896,0.64707,1.14931,0.78113,0.73466,0.79452,0.45093,1.52536,0.87491,1.64325,0.000404172,0.000404172,0.000404172
106,2240.02,1.00816,0.63981,1.14474,0.77801,0.74242,0.79022,0.44783,1.5011,0.88853,1.61903,0.000400048,0.000400048,0.000400048
107,2260.51,1.00824,0.63469,1.14371,0.79834,0.72755,0.7928,0.45511,1.49118,0.89591,1.63453,0.000395925,0.000395925,0.000395925
108,2281.09,1.00954,0.63674,1.15147,0.80449,0.70927,0.78924,0.45355,1.49803,0.91595,1.6367,0.000391802,0.000391802,0.000391802
109,2301.32,0.99776,0.63228,1.14408,0.77327,0.75821,0.79787,0.45862,1.50022,0.89768,1.63671,0.000387678,0.000387678,0.000387678
110,2321.59,1.00242,0.63345,1.149,0.81803,0.70191,0.77265,0.45527,1.49331,0.93957,1.62523,0.000383555,0.000383555,0.000383555
111,2342.7,1.00314,0.62492,1.14244,0.78754,0.74728,0.79082,0.45597,1.50802,0.89355,1.62367,0.000379431,0.000379431,0.000379431
112,2363.21,1.00116,0.62939,1.14699,0.82346,0.72834,0.79934,0.45563,1.50419,0.87864,1.65108,0.000375308,0.000375308,0.000375308
113,2384.15,0.99669,0.62917,1.14118,0.81507,0.72032,0.78877,0.44466,1.53436,0.89117,1.67299,0.000371185,0.000371185,0.000371185
114,2404.85,0.98934,0.625,1.14533,0.84419,0.7189,0.80077,0.45681,1.51813,0.88757,1.67002,0.000367061,0.000367061,0.000367061
115,2425.74,0.98506,0.61581,1.1339,0.76293,0.76463,0.79402,0.45631,1.50247,0.91396,1.6572,0.000362938,0.000362938,0.000362938
116,2446.47,0.99436,0.62131,1.14397,0.84907,0.75282,0.80821,0.45219,1.51457,0.88578,1.67054,0.000358815,0.000358815,0.000358815
117,2467.25,0.96895,0.61155,1.13371,0.78891,0.78185,0.80204,0.45235,1.51455,0.88753,1.66576,0.000354691,0.000354691,0.000354691
118,2488.35,0.97553,0.6128,1.12635,0.8189,0.7356,0.78597,0.44478,1.52411,0.90949,1.66207,0.000350568,0.000350568,0.000350568
119,2508.87,0.96436,0.60229,1.12453,0.84343,0.71734,0.80584,0.44693,1.51242,0.88466,1.64739,0.000346445,0.000346445,0.000346445
120,2530.32,0.97222,0.61045,1.12236,0.85224,0.74211,0.8216,0.46974,1.48919,0.87592,1.62657,0.000342321,0.000342321,0.000342321
121,2551.48,0.96081,0.60342,1.12351,0.75688,0.76048,0.79125,0.45083,1.50586,0.87497,1.64899,0.000338198,0.000338198,0.000338198
122,2572.74,0.97642,0.60921,1.12818,0.81242,0.73057,0.80231,0.44942,1.52182,0.89847,1.67155,0.000334075,0.000334075,0.000334075
123,2593.91,0.95763,0.59706,1.12251,0.81069,0.75398,0.807,0.45882,1.52324,0.89291,1.67044,0.000329951,0.000329951,0.000329951
124,2615.64,0.95401,0.59802,1.11816,0.83963,0.75954,0.81221,0.45504,1.53201,0.88501,1.6778,0.000325828,0.000325828,0.000325828
125,2636.66,0.96,0.60582,1.11954,0.79534,0.76623,0.79762,0.45285,1.55196,0.89879,1.70495,0.000321705,0.000321705,0.000321705
126,2657.41,0.95614,0.59914,1.1165,0.82471,0.73775,0.81028,0.45209,1.54258,0.89267,1.70257,0.000317581,0.000317581,0.000317581
127,2678.75,0.95458,0.58678,1.11532,0.79485,0.73781,0.78628,0.44953,1.54422,0.87571,1.70467,0.000313458,0.000313458,0.000313458
128,2700.32,0.94574,0.58946,1.1135,0.80051,0.72606,0.78205,0.45143,1.54123,0.87709,1.69907,0.000309335,0.000309335,0.000309335
129,2721.39,0.94753,0.58651,1.11661,0.8067,0.71489,0.79585,0.45062,1.51588,0.86888,1.66102,0.000305211,0.000305211,0.000305211
130,2742.7,0.93907,0.57691,1.10609,0.82128,0.74657,0.81621,0.45787,1.52475,0.85121,1.68362,0.000301088,0.000301088,0.000301088
131,2763.51,0.93911,0.58879,1.11004,0.83622,0.74696,0.80598,0.45243,1.5404,0.86204,1.69721,0.000296964,0.000296964,0.000296964
132,2784.46,0.92768,0.57709,1.10662,0.83891,0.73687,0.80495,0.45799,1.52447,0.87669,1.68337,0.000292841,0.000292841,0.000292841
133,2805.16,0.9293,0.58497,1.10859,0.82073,0.78328,0.81557,0.45817,1.51967,0.87237,1.68694,0.000288718,0.000288718,0.000288718
134,2825.62,0.92711,0.5761,1.10268,0.81557,0.72796,0.79362,0.44426,1.53706,0.88494,1.69186,0.000284594,0.000284594,0.000284594
135,2846.58,0.92958,0.57534,1.10701,0.7883,0.75088,0.79933,0.45008,1.51888,0.87695,1.69569,0.000280471,0.000280471,0.000280471
136,2867.86,0.91875,0.56455,1.09539,0.77099,0.76749,0.80022,0.4469,1.52727,0.89487,1.6804,0.000276348,0.000276348,0.000276348
137,2888.57,0.91955,0.57089,1.09935,0.80463,0.76596,0.81035,0.45299,1.52209,0.85925,1.67095,0.000272224,0.000272224,0.000272224
138,2909.38,0.90739,0.5602,1.09712,0.79616,0.76358,0.8015,0.45303,1.52351,0.87832,1.68171,0.000268101,0.000268101,0.000268101
