<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;1;251129;173700;303.87;303.87;303.83;303.87;73
SBER;1;251129;173800;303.87;303.87;303.86;303.87;133
SBER;1;251129;173900;303.87;303.88;303.86;303.88;76
SBER;1;251129;174000;303.88;303.88;303.87;303.88;584
SBER;1;251129;174100;303.88;303.91;303.87;303.91;3340
SBER;1;251129;174200;303.91;303.92;303.89;303.92;178
SBER;1;251129;174300;303.92;303.92;303.89;303.92;511
SBER;1;251129;174400;303.92;303.92;303.88;303.91;799
SBER;1;251129;174500;303.91;303.92;303.88;303.88;1587
SBER;1;251129;174600;303.92;303.92;303.88;303.92;96
SBER;1;251129;174700;303.91;303.91;303.88;303.91;11
SBER;1;251129;174800;303.91;303.92;303.88;303.91;83
SBER;1;251129;174900;303.92;303.92;303.87;303.87;1317
SBER;1;251129;175000;303.91;303.91;303.87;303.87;66
SBER;1;251129;175100;303.91;303.91;303.87;303.91;1288
SBER;1;251129;175200;303.91;303.91;303.87;303.91;23
SBER;1;251129;175300;303.91;303.91;303.87;303.91;100
SBER;1;251129;175400;303.91;303.91;303.87;303.91;61
SBER;1;251129;175500;303.91;303.91;303.87;303.9;105
SBER;1;251129;175600;303.9;303.9;303.87;303.9;22
SBER;1;251129;175700;303.88;303.91;303.87;303.88;1086
SBER;1;251129;175800;303.87;303.88;303.83;303.84;115
SBER;1;251129;175900;303.88;303.88;303.84;303.88;1029
SBER;1;251129;180000;303.88;303.88;303.85;303.88;1122
SBER;1;251129;180100;303.85;303.91;303.85;303.91;410
SBER;1;251129;180200;303.9;303.92;303.9;303.9;987
SBER;1;251129;180300;303.92;303.92;303.9;303.92;96
SBER;1;251129;180400;303.9;303.92;303.85;303.9;159
SBER;1;251129;180500;303.9;303.91;303.86;303.86;1473
SBER;1;251129;180600;303.91;303.91;303.81;303.88;1558
SBER;1;251129;180700;303.88;303.89;303.84;303.84;25
SBER;1;251129;180800;303.84;303.87;303.81;303.81;306
SBER;1;251129;180900;303.87;303.88;303.82;303.88;159
SBER;1;251129;181000;303.88;303.88;303.8;303.81;882
SBER;1;251129;181100;303.8;303.81;303.8;303.81;450
SBER;1;251129;181200;303.8;303.89;303.8;303.87;1924
SBER;1;251129;181300;303.88;303.89;303.87;303.89;78
SBER;1;251129;181400;303.88;303.89;303.79;303.87;563
SBER;1;251129;181500;303.87;303.89;303.79;303.79;1572
SBER;1;251129;181600;303.79;303.85;303.79;303.85;5
SBER;1;251129;181700;303.8;303.85;303.8;303.8;210
SBER;1;251129;181800;303.81;303.85;303.8;303.85;627
SBER;1;251129;181900;303.85;303.87;303.81;303.87;729
SBER;1;251129;182000;303.87;303.89;303.81;303.88;1545
SBER;1;251129;182100;303.88;303.89;303.83;303.89;156
SBER;1;251129;182200;303.86;303.86;303.81;303.86;714
SBER;1;251129;182300;303.85;303.86;303.82;303.86;28
SBER;1;251129;182400;303.86;303.89;303.86;303.89;1378
SBER;1;251129;182500;303.87;303.88;303.87;303.88;1069
SBER;1;251129;182600;303.88;303.88;303.83;303.88;14
SBER;1;251129;182700;303.83;303.88;303.81;303.82;184
SBER;1;251129;182800;303.86;303.87;303.82;303.82;176
SBER;1;251129;182900;303.81;303.89;303.81;303.88;2555
SBER;1;251129;183000;303.9;303.91;303.87;303.9;1566
SBER;1;251129;183100;303.9;303.91;303.88;303.91;287
SBER;1;251129;183200;303.91;303.92;303.87;303.91;216
SBER;1;251129;183300;303.91;303.92;303.9;303.92;176
SBER;1;251129;183400;303.9;303.92;303.84;303.85;1619
SBER;1;251129;183500;303.85;303.91;303.85;303.85;43
SBER;1;251129;183600;303.9;303.91;303.8;303.87;2678
SBER;1;251129;183700;303.87;303.88;303.85;303.85;209
SBER;1;251129;183800;303.88;303.91;303.76;303.86;4521
SBER;1;251129;183900;303.86;303.91;303.81;303.89;687
SBER;1;251129;184000;303.81;303.91;303.8;303.89;613
SBER;1;251129;184100;303.89;303.91;303.84;303.91;528
SBER;1;251129;184200;303.91;303.91;303.82;303.82;935
SBER;1;251129;184300;303.82;303.9;303.8;303.82;671
SBER;1;251129;184400;303.82;303.85;303.81;303.85;110
SBER;1;251129;184500;303.89;303.9;303.89;303.9;373
SBER;1;251129;184600;303.89;303.9;303.89;303.9;263
SBER;1;251129;184700;303.9;303.9;303.8;303.88;3020
SBER;1;251129;184800;303.88;303.88;303.88;303.88;10
SBER;1;251129;184900;303.82;303.88;303.78;303.86;1541
SBER;1;251129;185000;303.86;303.89;303.78;303.78;1141
SBER;1;251129;185100;303.78;303.86;303.78;303.86;109
SBER;1;251129;185200;303.87;303.87;303.8;303.8;334
SBER;1;251129;185300;303.86;303.87;303.8;303.85;263
SBER;1;251129;185400;303.87;303.87;303.85;303.85;95
SBER;1;251129;185500;303.85;303.89;303.8;303.81;712
SBER;1;251129;185600;303.88;303.89;303.81;303.88;163
SBER;1;251129;185700;303.88;303.92;303.87;303.92;969
SBER;1;251129;185800;303.92;303.92;303.83;303.9;589
SBER;1;251129;185900;303.9;303.91;303.85;303.88;1205




